%===============================================================
%     CTR DATA FORMAT #1 (Revision 2019.06.27)
%     TITLE : Ball-Joint Torque Test Data File  
%===============================================================
BEGIN_OF_HEADER
SAVED_DATE = 12/18/2025 9:22:08 AM
SAMPLE INFO = ///DEVELOPMENT/2025-12-17
TEST FUNCTION = TRIANGULAR
TEST FREQUENCY =0.323276
TEST CYCLE =4.000000
NUMBER_OF_COLUMNS = 7
COLUMN_NAME = [Save,State,Cycle,Time,Command,Angle,Torque]
COLUMN_UNIT = [NA,NA,Cycle,sec,Dgree,Dgree,N*m]
COLUMN_LENGTH = [6188,6188,6188,6188,6188,6188,6188]
COLUMN_MAXIMUM = [1.000000,3.000000,4.000000,12.376000,23.200000,22.682674,2.550143]
COLUMN_MINIMUM = [1.000000,3.000000,1.000000,0.002000,-23.200000,-22.688479,-1.340345]
COLUMN_START = [1.000000,3.000000,1.000000,0.002000,0.000000,0.000092,0.081794]
COLUMN_STOP = [1.000000,3.000000,4.000000,12.376000,0.020000,-1.431270,1.168532]
COLUMN_DELTA = [0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000]
COLUMN_DELTA_UNIT = [sec,sec,sec,sec,sec,sec,sec]
END_OF_HEADER
1.000000,3.000000,1.000000,0.126000,3.720000,2.257798,1.120333
1.000000,3.000000,1.000000,0.128000,3.780000,2.319329,1.135646
1.000000,3.000000,1.000000,0.130000,3.840000,2.380860,1.148964
1.000000,3.000000,1.000000,0.132000,3.900000,2.442359,1.154692
1.000000,3.000000,1.000000,0.134000,3.960000,2.503813,1.150142
1.000000,3.000000,1.000000,0.136000,4.020000,2.565219,1.136387
1.000000,3.000000,1.000000,0.138000,4.080000,2.626576,1.117721
1.000000,3.000000,1.000000,0.140000,4.140000,2.687867,1.099978
1.000000,3.000000,1.000000,0.142000,4.200000,2.749064,1.088394
1.000000,3.000000,1.000000,0.144000,4.260000,2.810121,1.085803
1.000000,3.000000,1.000000,0.146000,4.320000,2.870990,1.091799
1.000000,3.000000,1.000000,0.148000,4.380000,2.931626,1.103097
1.000000,3.000000,1.000000,0.150000,4.440000,2.992003,1.114900
1.000000,3.000000,1.000000,0.152000,4.500000,3.052120,1.122695
1.000000,3.000000,1.000000,0.154000,4.560000,3.112005,1.123818
1.000000,3.000000,1.000000,0.156000,4.620000,3.171709,1.118231
1.000000,3.000000,1.000000,0.158000,4.680000,3.231300,1.108300
1.000000,3.000000,1.000000,0.160000,4.740000,3.290852,1.097719
1.000000,3.000000,1.000000,0.162000,4.800000,3.350437,1.090049
1.000000,3.000000,1.000000,0.164000,4.860000,3.410115,1.087440
1.000000,3.000000,1.000000,0.166000,4.920000,3.469936,1.089970
1.000000,3.000000,1.000000,0.168000,4.980000,3.529933,1.095824
1.000000,3.000000,1.000000,0.170000,5.040000,3.590125,1.102147
1.000000,3.000000,1.000000,0.172000,5.100000,3.650515,1.106220
1.000000,3.000000,1.000000,0.174000,5.160000,3.711095,1.106473
1.000000,3.000000,1.000000,0.176000,5.220000,3.771839,1.102973
1.000000,3.000000,1.000000,0.178000,5.280000,3.832712,1.097236
1.000000,3.000000,1.000000,0.180000,5.340000,3.893665,1.091498
1.000000,3.000000,1.000000,0.182000,5.400000,3.954645,1.087753
1.000000,3.000000,1.000000,0.184000,5.460000,4.015596,1.086967
1.000000,3.000000,1.000000,0.186000,5.520000,4.076467,1.088762
1.000000,3.000000,1.000000,0.188000,5.580000,4.137216,1.091656
1.000000,3.000000,1.000000,0.190000,5.640000,4.197811,1.093748
1.000000,3.000000,1.000000,0.192000,5.700000,4.258232,1.093542
1.000000,3.000000,1.000000,0.194000,5.760000,4.318469,1.090565
1.000000,3.000000,1.000000,0.196000,5.820000,4.378518,1.085551
1.000000,3.000000,1.000000,0.198000,5.880000,4.438380,1.080112
1.000000,3.000000,1.000000,0.200000,5.940000,4.498059,1.076059
1.000000,3.000000,1.000000,0.202000,6.000000,4.557570,1.074643
1.000000,3.000000,1.000000,0.204000,6.060000,4.616933,1.076034
1.000000,3.000000,1.000000,0.206000,6.120000,4.676185,1.079233
1.000000,3.000000,1.000000,0.208000,6.180000,4.735376,1.082476
1.000000,3.000000,1.000000,0.210000,6.240000,4.794570,1.083939
1.000000,3.000000,1.000000,0.212000,6.300000,4.853834,1.082488
1.000000,3.000000,1.000000,0.214000,6.360000,4.913237,1.078170
1.000000,3.000000,1.000000,0.216000,6.420000,4.972836,1.072247
1.000000,3.000000,1.000000,0.218000,6.480000,5.032665,1.066760
1.000000,3.000000,1.000000,0.220000,6.540000,5.092736,1.063770
1.000000,3.000000,1.000000,0.222000,6.600000,5.153036,1.064583
1.000000,3.000000,1.000000,0.224000,6.660000,5.213528,1.069218
1.000000,3.000000,1.000000,0.226000,6.720000,5.274167,1.076356
1.000000,3.000000,1.000000,0.228000,6.780000,5.334898,1.083755
1.000000,3.000000,1.000000,0.230000,6.840000,5.395677,1.089017
1.000000,3.000000,1.000000,0.232000,6.900000,5.456465,1.090410
1.000000,3.000000,1.000000,0.234000,6.960000,5.517237,1.087448
1.000000,3.000000,1.000000,0.236000,7.020000,5.577973,1.081049
1.000000,3.000000,1.000000,0.238000,7.080000,5.638663,1.073184
1.000000,3.000000,1.000000,0.240000,7.140000,5.699291,1.066189
1.000000,3.000000,1.000000,0.242000,7.200000,5.759838,1.061953
1.000000,3.000000,1.000000,0.244000,7.260000,5.820276,1.061305
1.000000,3.000000,1.000000,0.246000,7.320000,5.880572,1.063783
1.000000,3.000000,1.000000,0.248000,7.380000,5.940691,1.067870
1.000000,3.000000,1.000000,0.250000,7.440000,6.000603,1.071598
1.000000,3.000000,1.000000,0.252000,7.500000,6.060290,1.073273
1.000000,3.000000,1.000000,0.254000,7.560000,6.119755,1.072078
1.000000,3.000000,1.000000,0.256000,7.620000,6.179027,1.068329
1.000000,3.000000,1.000000,0.258000,7.680000,6.238155,1.063306
1.000000,3.000000,1.000000,0.260000,7.740000,6.297214,1.058736
1.000000,3.000000,1.000000,0.262000,7.800000,6.356292,1.056135
1.000000,3.000000,1.000000,0.264000,7.860000,6.415477,1.056245
1.000000,3.000000,1.000000,0.266000,7.920000,6.474850,1.058782
