Time (s),Angle (deg),Torque (Nm),Cycle,,
0,0,0,1,0,2.627449222
0.002,0.017213,0,1,0,
0.004,0.034426,0,1,0,
0.006,0.051638,0,1,0,
0.008,0.068851,0,1,0,
0.01,0.086064,0,1,0,
0.012,0.103277,0,1,0,
0.014,0.12049,0,1,0,
0.016,0.137702,0,1,0,
0.018,0.154915,0,1,0,
0.02,0.172128,0,1,0,
0.022,0.189341,0,1,0,
0.024,0.206554,0,1,0,
0.026,0.223767,0,1,0,
0.028,0.240979,0,1,0,
0.03,0.258192,0,1,0,
0.032,0.275405,0,1,0,
0.034,0.292618,0,1,0,
0.036,0.309831,0,1,0,
0.038,0.327043,0,1,0,
0.04,0.344256,0,1,0,
0.042,0.361469,0,1,0,
0.044,0.378682,0,1,0,
0.046,0.395895,0,1,0,
0.048,0.413107,0,1,0,
0.05,0.43032,0,1,0,
0.052,0.447533,0,1,0,
0.054,0.464746,0,1,0,
0.056,0.481959,0,1,0,
0.058,0.499171,0,1,0,
0.06,0.516384,0,1,0,
0.062,0.533597,0,1,0,
0.064,0.55081,0,1,0,
0.066,0.568023,0,1,0,
0.068,0.585235,0,1,0,
0.07,0.59,-0.002565,1,0.002565,
0.072,0.59,-0.006757,1,0.006757,
0.074,0.59,-0.010948,1,0.010948,
0.076,0.59,-0.015139,1,0.015139,
0.078,0.59,-0.01933,1,0.01933,
0.08,0.59,-0.501125,1,0.501125,
0.082,0.59,-0.988721,1,0.988721,
0.084,0.59,-1.476316,1,1.476316,
0.086,0.59,-1.963912,1,1.963912,
0.088,0.59,-2.451508,1,2.451508,
0.09,0.59,-2.939103,1,2.939103,
0.092,0.59,-3.426699,1,3.426699,
0.094,0.59,-3.893689,1,3.893689,
0.096,0.59,-3.846763,1,3.846763,
0.098,0.59,-3.799838,1,3.799838,
0.1,0.59,-3.752912,1,3.752912,
0.102,0.59,-3.705986,1,3.705986,
0.104,0.59,-3.65906,1,3.65906,
0.106,0.59,-3.612135,1,3.612135,
0.108,0.59,-3.565209,1,3.565209,
0.11,0.59,-3.503162,1,3.503162,
0.112,0.59,-3.377257,1,3.377257,
0.114,0.59,-3.251352,1,3.251352,
0.116,0.59,-3.125447,1,3.125447,
0.118,0.59,-2.999541,1,2.999541,
0.12,0.59,-2.873636,1,2.873636,
0.122,0.59,-2.75181,1,2.75181,
0.124,0.59,-2.745003,1,2.745003,
0.126,0.59,-2.738196,1,2.738196,
0.128,0.59,-2.73139,1,2.73139,
0.13,0.59,-2.724583,1,2.724583,
0.132,0.59,-2.717776,1,2.717776,
0.134,0.59,-2.710969,1,2.710969,
0.136,0.59,-2.704162,1,2.704162,
0.138,0.59,-2.697355,1,2.697355,
0.14,0.59,-2.690549,1,2.690549,
0.142,0.59,-2.683742,1,2.683742,
0.144,0.59,-2.676935,1,2.676935,
0.146,0.59,-2.671079,1,2.671079,
0.148,0.59,-2.665744,1,2.665744,
0.15,0.59,-2.66041,1,2.66041,
0.152,0.59,-2.655076,1,2.655076,
0.154,0.59,-2.649742,1,2.649742,
0.156,0.59,-2.644407,1,2.644407,
0.158,0.59,-2.639073,1,2.639073,
0.16,0.59,-2.633739,1,2.633739,
0.162,0.59,-2.628405,1,2.628405,
0.164,0.59,-2.62307,1,2.62307,
0.166,0.59,-2.617736,1,2.617736,
0.168,0.932259,-2.611316,1,2.611316,
0.17,1.391267,-2.604525,1,2.604525,
0.172,1.850274,-2.597734,1,2.597734,
0.174,2.309282,-2.590944,1,2.590944,
0.176,2.768289,-2.584153,1,2.584153,
0.178,3.227297,-2.577362,1,2.577362,
0.18,3.686305,-2.570572,1,2.570572,
0.182,4.145312,-2.563781,1,2.563781,
0.184,4.52,-2.5578,1,2.5578,
0.186,4.52,-2.555415,1,2.555415,
0.188,4.52,-2.553031,1,2.553031,
0.19,4.52,-2.550647,1,2.550647,
0.192,4.52,-2.548262,1,2.548262,
0.194,4.52,-2.545878,1,2.545878,
0.196,4.52,-2.543494,1,2.543494,
0.198,4.52,-2.54111,1,2.54111,
0.2,4.52,-2.538509,1,2.538509,
0.202,4.52,-2.532203,1,2.532203,
0.204,4.52,-2.525897,1,2.525897,
0.206,4.52,-2.519591,1,2.519591,
0.208,4.52,-2.513285,1,2.513285,
0.21,4.52,-2.506979,1,2.506979,
0.212,4.52,-2.500673,1,2.500673,
0.214,4.52,-2.497243,1,2.497243,
0.216,4.52,-2.494102,1,2.494102,
0.218,4.52,-2.490962,1,2.490962,
0.22,4.52,-2.487821,1,2.487821,
0.222,4.52,-2.484681,1,2.484681,
0.224,4.52,-2.48154,1,2.48154,
0.226,4.52,-2.478175,1,2.478175,
0.228,4.52,-2.474729,1,2.474729,
0.23,4.52,-2.471283,1,2.471283,
0.232,4.52,-2.467837,1,2.467837,
0.234,4.52,-2.464391,1,2.464391,
0.236,4.52,-2.460946,1,2.460946,
0.238,4.52,-2.4575,1,2.4575,
0.24,4.52,-2.454054,1,2.454054,
0.242,4.52,-2.450608,1,2.450608,
0.244,4.52,-2.447162,1,2.447162,
0.246,4.52,-2.443716,1,2.443716,
0.248,4.52,-2.438672,1,2.438672,
0.25,4.52,-2.431953,1,2.431953,
0.252,4.52,-2.425233,1,2.425233,
0.254,4.52,-2.420373,1,2.420373,
0.256,4.52,-2.416732,1,2.416732,
0.258,4.52,-2.41309,1,2.41309,
0.26,4.52,-2.409448,1,2.409448,
0.262,4.52,-2.405806,1,2.405806,
0.264,4.52,-2.402558,1,2.402558,
0.266,4.52,-2.400309,1,2.400309,
0.268,4.52,-2.39806,1,2.39806,
0.27,4.52,-2.395811,1,2.395811,
0.272,4.52,-2.393562,1,2.393562,
0.274,4.52,-2.391313,1,2.391313,
0.276,4.52,-2.389064,1,2.389064,
0.278,4.52,-2.386815,1,2.386815,
0.28,4.52,-2.384566,1,2.384566,
0.282,4.52,-2.379905,1,2.379905,
0.284,4.52,-2.374025,1,2.374025,
0.286,4.52,-2.368146,1,2.368146,
0.288,4.52,-2.362267,1,2.362267,
0.29,4.52,-2.356387,1,2.356387,
0.292,4.52,-2.350508,1,2.350508,
0.294,4.52,-2.345051,1,2.345051,
0.296,4.52,-2.345051,1,2.345051,
0.298,4.52,-2.345051,1,2.345051,
0.3,4.52,-2.345051,1,2.345051,
0.302,4.52,-2.345051,1,2.345051,
0.304,4.586598,-2.344455,1,2.344455,
0.306,4.978927,-2.340943,1,2.340943,
0.308,5.371256,-2.337431,1,2.337431,
0.31,5.763585,-2.333919,1,2.333919,
0.312,6.155915,-2.330407,1,2.330407,
0.314,6.548244,-2.326895,1,2.326895,
0.316,6.940573,-2.323383,1,2.323383,
0.318,7.332902,-2.319871,1,2.319871,
0.32,7.725231,-2.316359,1,2.316359,
0.322,8.117561,-2.312847,1,2.312847,
0.324,8.50989,-2.309334,1,2.309334,
0.326,8.85,-2.306008,1,2.306008,
0.328,8.85,-2.30389,1,2.30389,
0.33,8.85,-2.301771,1,2.301771,
0.332,8.85,-2.299653,1,2.299653,
0.334,8.85,-2.297534,1,2.297534,
0.336,8.85,-2.295416,1,2.295416,
0.338,8.85,-2.293298,1,2.293298,
0.34,8.85,-2.291179,1,2.291179,
0.342,8.85,-2.289061,1,2.289061,
0.344,8.85,-2.286942,1,2.286942,
0.346,8.85,-2.285243,1,2.285243,
0.348,8.85,-2.28355,1,2.28355,
0.35,8.85,-2.281857,1,2.281857,
0.352,8.85,-2.280164,1,2.280164,
0.354,8.85,-2.278471,1,2.278471,
0.356,8.85,-2.276778,1,2.276778,
0.358,8.85,-2.275086,1,2.275086,
0.36,8.85,-2.273393,1,2.273393,
0.362,8.85,-2.2717,1,2.2717,
0.364,8.85,-2.270007,1,2.270007,
0.366,8.85,-2.268314,1,2.268314,
0.368,8.85,-2.267529,1,2.267529,
0.37,8.85,-2.267529,1,2.267529,
0.372,8.85,-2.267529,1,2.267529,
0.374,8.85,-2.267529,1,2.267529,
0.376,8.85,-2.267529,1,2.267529,
0.378,8.85,-2.267181,1,2.267181,
0.38,8.85,-2.264837,1,2.264837,
0.382,8.85,-2.262494,1,2.262494,
0.384,8.85,-2.260151,1,2.260151,
0.386,8.85,-2.257808,1,2.257808,
0.388,8.85,-2.255464,1,2.255464,
0.39,8.85,-2.253121,1,2.253121,
0.392,8.85,-2.250778,1,2.250778,
0.394,8.85,-2.248435,1,2.248435,
0.396,8.85,-2.246143,1,2.246143,
0.398,8.85,-2.24386,1,2.24386,
0.4,8.85,-2.241576,1,2.241576,
0.402,8.85,-2.239292,1,2.239292,
0.404,8.85,-2.237008,1,2.237008,
0.406,8.85,-2.234724,1,2.234724,
0.408,8.85,-2.23244,1,2.23244,
0.41,8.85,-2.230156,1,2.230156,
0.412,8.85,-2.228767,1,2.228767,
0.414,8.85,-2.228767,1,2.228767,
0.416,8.85,-2.228767,1,2.228767,
0.418,8.85,-2.228767,1,2.228767,
0.42,8.85,-2.228767,1,2.228767,
0.422,8.85,-2.228767,1,2.228767,
0.424,8.85,-2.228767,1,2.228767,
0.426,8.85,-2.228767,1,2.228767,
0.428,9.079105,-2.227583,1,2.227583,
0.43,10.23416,-2.221614,1,2.221614,
0.432,11.389214,-2.215644,1,2.215644,
0.434,12.544269,-2.209675,1,2.209675,
0.436,12.6,-2.20691,1,2.20691,
0.438,12.6,-2.204307,1,2.204307,
0.44,12.6,-2.201704,1,2.201704,
0.442,12.6,-2.199101,1,2.199101,
0.444,12.6,-2.196498,1,2.196498,
0.446,12.6,-2.193895,1,2.193895,
0.448,12.6,-2.191292,1,2.191292,
0.45,12.6,-2.188796,1,2.188796,
0.452,12.6,-2.186405,1,2.186405,
0.454,12.6,-2.184013,1,2.184013,
0.456,12.6,-2.181622,1,2.181622,
0.458,12.6,-2.17923,1,2.17923,
0.46,12.6,-2.176838,1,2.176838,
0.462,12.6,-2.174447,1,2.174447,
0.464,12.6,-2.172055,1,2.172055,
0.466,12.6,-2.170626,1,2.170626,
0.468,12.6,-2.170626,1,2.170626,
0.47,12.6,-2.170626,1,2.170626,
0.472,12.6,-2.169885,1,2.169885,
0.474,12.6,-2.167216,1,2.167216,
0.476,12.6,-2.164547,1,2.164547,
0.478,12.6,-2.161878,1,2.161878,
0.48,12.6,-2.159209,1,2.159209,
0.482,12.6,-2.15654,1,2.15654,
0.484,12.6,-2.153871,1,2.153871,
0.486,12.6,-2.151206,1,2.151206,
0.488,12.6,-2.148773,1,2.148773,
0.49,12.6,-2.146339,1,2.146339,
0.492,12.6,-2.143906,1,2.143906,
0.494,12.6,-2.141473,1,2.141473,
0.496,12.6,-2.13904,1,2.13904,
0.498,12.6,-2.136607,1,2.136607,
0.5,12.6,-2.134173,1,2.134173,
0.502,12.6,-2.131777,1,2.131777,
0.504,12.6,-2.130066,1,2.130066,
0.506,12.6,-2.128354,1,2.128354,
0.508,12.6,-2.126643,1,2.126643,
0.51,12.6,-2.124932,1,2.124932,
0.512,12.6,-2.12322,1,2.12322,
0.514,12.6,-2.121509,1,2.121509,
0.516,12.6,-2.119798,1,2.119798,
0.518,12.6,-2.118086,1,2.118086,
0.52,12.6,-2.116375,1,2.116375,
0.522,12.6,-2.114663,1,2.114663,
0.524,12.6,-2.112952,1,2.112952,
0.526,12.6,-2.111243,1,2.111243,
0.528,12.6,-2.109534,1,2.109534,
0.53,12.6,-2.107825,1,2.107825,
0.532,12.6,-2.106116,1,2.106116,
0.534,12.6,-2.104407,1,2.104407,
0.536,12.6,-2.102699,1,2.102699,
0.538,12.6,-2.10099,1,2.10099,
0.54,12.6,-2.099281,1,2.099281,
0.542,12.6,-2.097572,1,2.097572,
0.544,12.6,-2.095863,1,2.095863,
0.546,12.6,-2.094154,1,2.094154,
0.548,12.755534,-2.092219,1,2.092219,
0.55,13.159622,-2.089923,1,2.089923,
0.552,13.56371,-2.087626,1,2.087626,
0.554,13.967798,-2.08533,1,2.08533,
0.556,14.371887,-2.083033,1,2.083033,
0.558,14.775975,-2.080736,1,2.080736,
0.56,15.180063,-2.07844,1,2.07844,
0.562,15.584152,-2.076143,1,2.076143,
0.564,15.98824,-2.073847,1,2.073847,
0.566,16.01,-2.071458,1,2.071458,
0.568,16.01,-2.069064,1,2.069064,
0.57,16.01,-2.066671,1,2.066671,
0.572,16.01,-2.064277,1,2.064277,
0.574,16.01,-2.061884,1,2.061884,
0.576,16.01,-2.05949,1,2.05949,
0.578,16.01,-2.057096,1,2.057096,
0.58,16.01,-2.054703,1,2.054703,
0.582,16.01,-2.054342,1,2.054342,
0.584,16.01,-2.054342,1,2.054342,
0.586,16.01,-2.054342,1,2.054342,
0.588,16.01,-2.050397,1,2.050397,
0.59,16.01,-2.044717,1,2.044717,
0.592,16.01,-2.039037,1,2.039037,
0.594,16.01,-2.034419,1,2.034419,
0.596,16.01,-2.032496,1,2.032496,
0.598,16.01,-2.030574,1,2.030574,
0.6,16.01,-2.028652,1,2.028652,
0.602,16.01,-2.02673,1,2.02673,
0.604,16.01,-2.024808,1,2.024808,
0.606,16.01,-2.022886,1,2.022886,
0.608,16.01,-2.020963,1,2.020963,
0.61,16.01,-2.019041,1,2.019041,
0.612,16.01,-2.017119,1,2.017119,
0.614,16.01,-2.015581,1,2.015581,
0.616,16.01,-2.015581,1,2.015581,
0.618,16.01,-2.015581,1,2.015581,
0.62,16.01,-2.015581,1,2.015581,
0.622,16.01,-2.015581,1,2.015581,
0.624,16.01,-2.015581,1,2.015581,
0.626,16.01,-2.015581,1,2.015581,
0.628,16.01,-2.015581,1,2.015581,
0.63,16.01,-2.015581,1,2.015581,
0.632,16.01,-1.995639,1,1.995639,
0.634,16.01,-1.993895,1,1.993895,
0.636,16.01,-1.99215,1,1.99215,
0.638,16.01,-1.990406,1,1.990406,
0.64,16.01,-1.988661,1,1.988661,
0.642,16.01,-1.986917,1,1.986917,
0.644,16.01,-1.985173,1,1.985173,
0.646,16.01,-1.983428,1,1.983428,
0.648,16.01,-1.981684,1,1.981684,
0.65,16.01,-1.979939,1,1.979939,
0.652,16.01,-1.978195,1,1.978195,
0.654,16.106185,-1.976332,1,1.976332,
0.656,16.560314,-1.974028,1,1.974028,
0.658,17.014443,-1.971724,1,1.971724,
0.66,17.468573,-1.96942,1,1.96942,
0.662,17.922702,-1.967116,1,1.967116,
0.664,18.376831,-1.964812,1,1.964812,
0.666,18.830961,-1.962508,1,1.962508,
0.668,19.28509,-1.960204,1,1.960204,
0.67,19.73922,-1.9579,1,1.9579,
0.672,19.83,-1.938027,1,1.938027,
0.674,19.83,-1.936294,1,1.936294,
0.676,19.83,-1.934562,1,1.934562,
0.678,19.83,-1.932829,1,1.932829,
0.68,19.83,-1.931096,1,1.931096,
0.682,19.83,-1.929363,1,1.929363,
0.684,19.83,-1.92763,1,1.92763,
0.686,19.83,-1.925898,1,1.925898,
0.688,19.83,-1.924165,1,1.924165,
0.69,19.83,-1.922432,1,1.922432,
0.692,19.83,-1.920699,1,1.920699,
0.694,19.83,-1.918967,1,1.918967,
0.696,19.83,-1.91678,1,1.91678,
0.698,19.83,-1.914502,1,1.914502,
0.7,19.83,-1.912225,1,1.912225,
0.702,19.83,-1.909947,1,1.909947,
0.704,19.83,-1.90767,1,1.90767,
0.706,19.83,-1.905392,1,1.905392,
0.708,19.83,-1.903115,1,1.903115,
0.71,19.83,-1.900837,1,1.900837,
0.712,19.83,-1.898236,1,1.898236,
0.714,19.83,-1.894959,1,1.894959,
0.716,19.83,-1.891682,1,1.891682,
0.718,19.83,-1.888405,1,1.888405,
0.72,19.83,-1.885128,1,1.885128,
0.722,19.83,-1.881852,1,1.881852,
0.724,19.83,-1.878416,1,1.878416,
0.726,19.83,-1.874751,1,1.874751,
0.728,19.83,-1.871085,1,1.871085,
0.73,19.83,-1.86742,1,1.86742,
0.732,19.83,-1.863755,1,1.863755,
0.734,19.83,-1.860536,1,1.860536,
0.736,19.83,-1.860536,1,1.860536,
0.738,19.83,-1.860536,1,1.860536,
0.74,19.83,-1.860536,1,1.860536,
0.742,19.83,-1.860536,1,1.860536,
0.744,19.83,-1.860536,1,1.860536,
0.746,19.83,-1.860536,1,1.860536,
0.748,19.83,-1.860536,1,1.860536,
0.75,19.83,-1.860536,1,1.860536,
0.752,19.83,-1.856927,1,1.856927,
0.754,19.83,-1.850998,1,1.850998,
0.756,19.83,-1.845069,1,1.845069,
0.758,19.83,-1.83914,1,1.83914,
0.76,19.83,-1.833211,1,1.833211,
0.762,19.83,-1.827282,1,1.827282,
0.764,19.853636,-1.821639,1,1.821639,
0.766,20.185843,-1.819723,1,1.819723,
0.768,20.518049,-1.817807,1,1.817807,
0.77,20.850255,-1.81589,1,1.81589,
0.772,21.182461,-1.813974,1,1.813974,
0.774,21.514667,-1.812058,1,1.812058,
0.776,21.846874,-1.810142,1,1.810142,
0.778,22.17908,-1.808226,1,1.808226,
0.78,22.511286,-1.806309,1,1.806309,
0.782,22.843492,-1.804393,1,1.804393,
0.784,23.175699,-1.802477,1,1.802477,
0.786,23.19,-1.802395,1,1.802395,
0.788,23.19,-1.802395,1,1.802395,
0.79,23.19,-1.802395,1,1.802395,
0.792,23.19,-1.802395,1,1.802395,
0.794,23.19,-1.802395,1,1.802395,
0.796,23.19,-1.802395,1,1.802395,
0.798,23.19,-1.802395,1,1.802395,
0.8,23.19,-1.802395,1,1.802395,
0.802,23.19,-1.8019,1,1.8019,
0.804,23.19,-1.79891,1,1.79891,
0.806,23.19,-1.795921,1,1.795921,
0.808,23.19,-1.792932,1,1.792932,
0.81,23.19,-1.789942,1,1.789942,
0.812,23.19,-1.786953,1,1.786953,
0.814,23.19,-1.783963,1,1.783963,
0.816,23.19,-1.780682,1,1.780682,
0.818,23.19,-1.777264,1,1.777264,
0.82,23.19,-1.773847,1,1.773847,
0.822,23.19,-1.770429,1,1.770429,
0.824,23.19,-1.767012,1,1.767012,
0.826,23.19,-1.76361,1,1.76361,
0.828,23.19,-1.76158,1,1.76158,
0.83,23.19,-1.759551,1,1.759551,
0.832,23.19,-1.757521,1,1.757521,
0.834,23.19,-1.755491,1,1.755491,
0.836,23.19,-1.753461,1,1.753461,
0.838,23.19,-1.751431,1,1.751431,
0.84,23.19,-1.749401,1,1.749401,
0.842,23.19,-1.747371,1,1.747371,
0.844,23.19,-1.745341,1,1.745341,
0.846,23.19,-1.744253,1,1.744253,
0.848,23.19,-1.744253,1,1.744253,
0.85,23.19,-1.744253,1,1.744253,
0.852,23.19,-1.744253,1,1.744253,
0.854,23.19,-1.743523,1,1.743523,
0.856,23.19,-1.741718,1,1.741718,
0.858,23.19,-1.739912,1,1.739912,
0.86,23.19,-1.738107,1,1.738107,
0.862,23.19,-1.736301,1,1.736301,
0.864,23.19,-1.734496,1,1.734496,
0.866,23.19,-1.73269,1,1.73269,
0.868,23.19,-1.730885,1,1.730885,
0.87,23.19,-1.729079,1,1.729079,
0.872,23.19,-1.727274,1,1.727274,
0.874,23.19,-1.725468,1,1.725468,
0.876,23.369964,-1.723369,1,1.723369,
0.878,23.638647,-1.721124,1,1.721124,
0.88,23.907331,-1.71888,1,1.71888,
0.882,24.176014,-1.716635,1,1.716635,
0.884,24.444697,-1.714391,1,1.714391,
0.886,24.713381,-1.712146,1,1.712146,
0.888,24.982064,-1.709902,1,1.709902,
0.89,25.250747,-1.707657,1,1.707657,
0.892,25.51,-1.705368,1,1.705368,
0.894,25.51,-1.701846,1,1.701846,
0.896,25.51,-1.698323,1,1.698323,
0.898,25.51,-1.694801,1,1.694801,
0.9,25.51,-1.691278,1,1.691278,
0.902,25.51,-1.687756,1,1.687756,
0.904,25.51,-1.684234,1,1.684234,
0.906,25.51,-1.680711,1,1.680711,
0.908,25.51,-1.677189,1,1.677189,
0.91,25.51,-1.673666,1,1.673666,
0.912,25.51,-1.670144,1,1.670144,
0.914,25.51,-1.666659,1,1.666659,
0.916,25.51,-1.664341,1,1.664341,
0.918,25.51,-1.662023,1,1.662023,
0.92,25.51,-1.659706,1,1.659706,
0.922,25.51,-1.657388,1,1.657388,
0.924,25.51,-1.65507,1,1.65507,
0.926,25.51,-1.652753,1,1.652753,
0.928,25.51,-1.650435,1,1.650435,
0.93,25.51,-1.648117,1,1.648117,
0.932,25.51,-1.537603,1,1.537603,
0.934,25.51,-1.499234,1,1.499234,
0.936,25.51,-1.460866,1,1.460866,
0.938,25.51,-1.422497,1,1.422497,
0.94,25.51,-1.384128,1,1.384128,
0.942,25.51,-1.34576,1,1.34576,
0.944,25.51,-1.307391,1,1.307391,
0.946,25.51,-1.250197,1,1.250197,
0.948,25.51,-1.187325,1,1.187325,
0.95,25.51,-1.124452,1,1.124452,
0.952,25.51,-1.06158,1,1.06158,
0.954,25.51,-0.998707,1,0.998707,
0.956,25.51,-0.935835,1,0.935835,
0.958,25.51,-0.872962,1,0.872962,
0.96,25.51,-0.80604,1,0.80604,
0.962,25.51,-0.732227,1,0.732227,
0.964,25.51,-0.658414,1,0.658414,
0.966,25.51,-0.584602,1,0.584602,
0.968,25.51,-0.510789,1,0.510789,
0.97,25.51,-0.436976,1,0.436976,
0.972,25.51,-0.363164,1,0.363164,
0.974,25.51,-0.289351,1,0.289351,
0.976,25.443105,-0.199498,1,0.199498,
0.978,25.15314,-0.056155,1,0.056155,
0.98,24.863176,0.087188,1,0.087188,
0.982,24.573211,0.23053,1,0.23053,
0.984,24.283246,0.373873,1,0.373873,
0.986,23.993282,0.517216,1,0.517216,
0.988,23.703317,0.660559,1,0.660559,
0.99,23.413352,0.803901,1,0.803901,
0.992,23.123388,0.947244,1,0.947244,
0.994,22.833423,1.090587,1,1.090587,
0.996,22.543458,1.233929,1,1.233929,
0.998,22.253493,1.377272,1,1.377272,
1,22.06,1.483745,1,1.483745,
1.002,22.06,1.516266,1,1.516266,
1.004,22.06,1.548787,1,1.548787,
1.006,22.06,1.581308,1,1.581308,
1.008,22.06,1.61383,1,1.61383,
1.01,22.06,1.646351,1,1.646351,
1.012,22.06,1.678872,1,1.678872,
1.014,22.06,1.711394,1,1.711394,
1.016,22.06,1.743915,1,1.743915,
1.018,22.06,1.762419,1,1.762419,
1.02,22.06,1.780775,1,1.780775,
1.022,22.06,1.799132,1,1.799132,
1.024,22.06,1.803856,1,1.803856,
1.026,22.06,1.805632,1,1.805632,
1.028,22.06,1.807409,1,1.807409,
1.03,22.06,1.809185,1,1.809185,
1.032,22.06,1.810961,1,1.810961,
1.034,22.06,1.812738,1,1.812738,
1.036,22.06,1.814514,1,1.814514,
1.038,22.06,1.816291,1,1.816291,
1.04,22.06,1.818067,1,1.818067,
1.042,22.06,1.819844,1,1.819844,
1.044,22.06,1.82162,1,1.82162,
1.046,22.06,1.823988,1,1.823988,
1.048,22.06,1.826412,1,1.826412,
1.05,22.06,1.828837,1,1.828837,
1.052,22.06,1.831261,1,1.831261,
1.054,22.06,1.833686,1,1.833686,
1.056,22.06,1.83611,1,1.83611,
1.058,22.06,1.838534,1,1.838534,
1.06,22.06,1.840959,1,1.840959,
1.062,22.06,1.841156,1,1.841156,
1.064,22.06,1.841156,1,1.841156,
1.066,22.06,1.841156,1,1.841156,
1.068,22.06,1.844128,1,1.844128,
1.07,22.06,1.848677,1,1.848677,
1.072,22.06,1.853225,1,1.853225,
1.074,22.06,1.857773,1,1.857773,
1.076,22.06,1.862321,1,1.862321,
1.078,22.06,1.866869,1,1.866869,
1.08,22.06,1.871418,1,1.871418,
1.082,22.06,1.875966,1,1.875966,
1.084,22.06,1.879917,1,1.879917,
1.086,22.06,1.879917,1,1.879917,
1.088,22.06,1.879917,1,1.879917,
1.09,22.06,1.879917,1,1.879917,
1.092,22.06,1.879917,1,1.879917,
1.094,22.06,1.879917,1,1.879917,
1.096,22.06,1.879917,1,1.879917,
1.098,22.06,1.879917,1,1.879917,
1.1,22.06,1.879917,1,1.879917,
1.102,22.06,1.883737,1,1.883737,
1.104,22.06,1.889955,1,1.889955,
1.106,22.06,1.896173,1,1.896173,
1.108,22.06,1.902392,1,1.902392,
1.11,22.06,1.90861,1,1.90861,
1.112,22.06,1.914828,1,1.914828,
1.114,21.931691,1.919405,1,1.919405,
1.116,21.594745,1.921315,1,1.921315,
1.118,21.257799,1.923224,1,1.923224,
1.12,20.920854,1.925134,1,1.925134,
1.122,20.583908,1.927043,1,1.927043,
1.124,20.246962,1.928952,1,1.928952,
1.126,19.910016,1.930862,1,1.930862,
1.128,19.57307,1.932771,1,1.932771,
1.13,19.236125,1.934681,1,1.934681,
1.132,18.899179,1.93659,1,1.93659,
1.134,18.64,1.938584,1,1.938584,
1.136,18.64,1.940859,1,1.940859,
1.138,18.64,1.943135,1,1.943135,
1.14,18.64,1.94541,1,1.94541,
1.142,18.64,1.947685,1,1.947685,
1.144,18.64,1.94996,1,1.94996,
1.146,18.64,1.952236,1,1.952236,
1.148,18.64,1.954511,1,1.954511,
1.15,18.64,1.956786,1,1.956786,
1.152,18.64,1.961807,1,1.961807,
1.154,18.64,1.967934,1,1.967934,
1.156,18.64,1.974061,1,1.974061,
1.158,18.64,1.980187,1,1.980187,
1.16,18.64,1.986314,1,1.986314,
1.162,18.64,1.992441,1,1.992441,
1.164,18.64,1.997538,1,1.997538,
1.166,18.64,2.001,1,2.001,
1.168,18.64,2.004461,1,2.004461,
1.17,18.64,2.007923,1,2.007923,
1.172,18.64,2.011384,1,2.011384,
1.174,18.64,2.014846,1,2.014846,
1.176,18.64,2.016929,1,2.016929,
1.178,18.64,2.01864,1,2.01864,
1.18,18.64,2.020351,1,2.020351,
1.182,18.64,2.022062,1,2.022062,
1.184,18.64,2.023773,1,2.023773,
1.186,18.64,2.025484,1,2.025484,
1.188,18.64,2.027195,1,2.027195,
1.19,18.64,2.028906,1,2.028906,
1.192,18.64,2.030617,1,2.030617,
1.194,18.64,2.032328,1,2.032328,
1.196,18.64,2.034039,1,2.034039,
1.198,18.64,2.037695,1,2.037695,
1.2,18.64,2.043628,1,2.043628,
1.202,18.64,2.049561,1,2.049561,
1.204,18.64,2.054342,1,2.054342,
1.206,18.64,2.054342,1,2.054342,
1.208,18.64,2.054342,1,2.054342,
1.21,18.64,2.054342,1,2.054342,
1.212,18.64,2.054342,1,2.054342,
1.214,18.64,2.054934,1,2.054934,
1.216,18.64,2.057211,1,2.057211,
1.218,18.64,2.059489,1,2.059489,
1.22,18.64,2.061766,1,2.061766,
1.222,18.64,2.064043,1,2.064043,
1.224,18.64,2.066321,1,2.066321,
1.226,18.64,2.068598,1,2.068598,
1.228,18.64,2.070876,1,2.070876,
1.23,18.64,2.073153,1,2.073153,
1.232,18.64,2.075928,1,2.075928,
1.234,18.64,2.078869,1,2.078869,
1.236,18.64,2.081809,1,2.081809,
1.238,18.64,2.08475,1,2.08475,
1.24,18.64,2.08769,1,2.08769,
1.242,18.64,2.090631,1,2.090631,
1.244,18.524415,2.093701,1,2.093701,
1.246,17.798382,2.097453,1,2.097453,
1.248,17.072348,2.101205,1,2.101205,
1.25,16.346315,2.104958,1,2.104958,
1.252,15.620281,2.10871,1,2.10871,
1.254,14.894247,2.112462,1,2.112462,
1.256,14.89,2.114822,1,2.114822,
1.258,14.89,2.117173,1,2.117173,
1.26,14.89,2.119524,1,2.119524,
1.262,14.89,2.121875,1,2.121875,
1.264,14.89,2.124227,1,2.124227,
1.266,14.89,2.126578,1,2.126578,
1.268,14.89,2.128929,1,2.128929,
1.27,14.89,2.131281,1,2.131281,
1.272,14.89,2.132312,1,2.132312,
1.274,14.89,2.133777,1,2.133777,
1.276,14.89,2.135242,1,2.135242,
1.278,14.89,2.136708,1,2.136708,
1.28,14.89,2.138173,1,2.138173,
1.282,14.89,2.139638,1,2.139638,
1.284,14.89,2.141103,1,2.141103,
1.286,14.89,2.142568,1,2.142568,
1.288,14.89,2.144033,1,2.144033,
1.29,14.89,2.145499,1,2.145499,
1.292,14.89,2.146964,1,2.146964,
1.294,14.89,2.148429,1,2.148429,
