Time (s),Angle (deg),Torque (Nm),Cycle
1.769857,21.097555,0.929404,1
1.780002,20.797540,0.923691,1
1.790079,20.497525,0.938808,1
1.802145,20.197510,0.894573,1
1.812523,19.897495,0.897778,1
1.822757,19.597480,0.826895,1
1.833095,19.297465,0.805798,1
1.843662,18.997450,0.817142,1
1.853966,18.697435,0.817231,1
1.864186,18.397420,0.828364,1
1.875184,18.097405,0.812819,1
1.886381,17.797390,0.755372,1
1.896743,17.497375,0.735462,1
1.907001,17.197360,0.747662,1
1.917545,16.897345,0.749308,1
1.928203,16.597330,0.776100,1
1.938823,16.297315,0.745176,1
1.949701,15.997300,0.714858,1
1.960100,15.697285,0.682878,1
1.971210,15.397270,0.638473,1
1.982206,15.097255,0.630769,1
1.993196,14.797240,0.627319,1
2.004129,14.497225,0.662266,1
2.014974,14.197210,0.654801,1
2.025391,13.897195,0.625634,1
2.036107,13.597180,0.575007,1
2.047082,13.297165,0.550953,1
2.057146,12.997150,0.561594,1
2.068573,12.697135,0.544892,1
2.079479,12.397120,0.574447,1
2.090293,12.097105,0.533205,1
2.101326,11.797090,0.543751,1
2.112284,11.497075,0.512220,1
2.123274,11.197060,0.464305,1
2.136307,10.897045,0.444790,1
2.147270,10.597030,0.476464,1
2.158300,10.297015,0.465406,1
2.169293,9.997000,0.461207,1
2.180291,9.696985,0.434903,1
2.191342,9.396970,0.415331,1
2.203221,9.096955,0.348671,1
2.214467,8.796940,0.344559,1
2.225262,8.496925,0.368861,1
2.236290,8.196910,0.380279,1
2.247275,7.896895,0.359359,1
2.259347,7.596880,0.344466,1
2.270438,7.296865,0.295854,1
2.281242,6.996850,0.261185,1
2.292225,6.696835,0.272970,1
2.303270,6.396820,0.287468,1
2.314231,6.096805,0.287247,1
2.324756,5.796790,0.237720,1
2.335956,5.496775,0.246595,1
2.346249,5.196760,0.194756,1
2.357264,4.896745,0.159785,1
2.368261,4.596730,0.157717,1
2.379636,4.296715,0.151972,1
2.391177,3.996700,0.199105,1
2.401247,3.696685,0.149230,1
2.411683,3.396670,0.123207,1
2.422711,3.096655,0.102354,1
2.433750,2.796640,0.087567,1
2.444834,2.496625,0.095425,1
2.456625,2.196610,0.106793,1
2.466898,1.896595,0.101488,1
2.477674,1.596580,0.055061,1
2.488673,1.296565,0.043849,1
2.499756,0.996550,-0.019338,1
2.510793,0.696535,-0.010807,1
2.521936,0.396520,0.012542,1
2.532719,0.096505,-0.005229,1
2.543667,-0.203510,0.008985,1
2.554700,-0.503525,0.018682,1
2.565691,-0.803540,0.009573,1
2.576060,-1.103555,-0.017325,1
2.587732,-1.403570,0.020726,1
2.598765,-1.703585,0.065798,1
2.608890,-2.003600,0.132807,1
2.619932,-2.303615,0.129974,1
2.630959,-2.603630,0.121450,1
2.644001,-2.903645,0.109869,1
2.654743,-3.203660,0.107778,1
2.665718,-3.503675,0.101210,1
2.676737,-3.803690,0.149864,1
2.687285,-4.103705,0.183174,1
2.698869,-4.403720,0.197804,1
2.709320,-4.703735,0.195893,1
2.720306,-5.003750,0.180307,1
2.731313,-5.303765,0.179200,1
2.742309,-5.603780,0.199236,1
2.753323,-5.903795,0.246764,1
2.765063,-6.203810,0.290174,1
2.775436,-6.503825,0.332905,1
2.786503,-6.803840,0.297582,1
2.797607,-7.103855,0.280549,1
2.808409,-7.403870,0.286034,1
2.819053,-7.703885,0.304204,1
2.830561,-8.003900,0.334112,1
2.841046,-8.303915,0.412327,1
2.852001,-8.603930,0.388576,1
2.862982,-8.903945,0.375194,1
2.873993,-9.203960,0.416605,1
2.886208,-9.503975,0.364273,1
2.897100,-9.803990,0.385418,1
2.907257,-10.104005,0.445316,1
2.918242,-10.404020,0.455987,1
2.928914,-10.704035,0.517763,1
2.939932,-11.004050,0.436839,1
2.950929,-11.304065,0.484476,1
2.962965,-11.604080,0.464665,1
2.974011,-11.904095,0.489369,1
2.984952,-12.204110,0.556739,1
2.995950,-12.504125,0.582839,1
3.007351,-12.804140,0.603133,1
3.017795,-13.104155,0.572018,1
3.028708,-13.404170,0.558088,1
3.039452,-13.704185,0.573043,1
3.050462,-14.004200,0.602810,1
3.061462,-14.304215,0.664620,1
3.072787,-14.604230,0.652122,1
3.083818,-14.904245,0.663173,1
3.094477,-15.204260,0.654627,1
3.105473,-15.504275,0.629735,1
3.115980,-15.804290,0.652164,1
3.126387,-16.104305,0.711903,1
3.137663,-16.404320,0.732932,1
3.148076,-16.704335,0.810910,1
3.158972,-17.004350,0.773741,1
3.169974,-17.304365,0.763927,1
3.181062,-17.604380,0.756523,1
3.192036,-17.904395,0.738400,1
3.203363,-18.204410,0.797827,1
3.214001,-18.504425,0.850862,1
3.225139,-18.804440,0.864111,1
3.235595,-19.104455,0.845473,1
3.246567,-19.404470,0.853395,1
3.257584,-19.704485,0.852223,1
3.268657,-20.004500,0.843666,1
3.279889,-20.304515,0.915603,1
3.290587,-20.604530,0.906042,1
3.301567,-20.904545,0.946080,1
3.313232,-21.204560,0.962857,1
3.324925,-21.504575,0.928540,1
3.335603,-21.804590,0.958963,1
3.346575,-22.104605,0.946689,1
3.357593,-22.404620,0.999807,1
3.368559,-22.704635,1.041506,1
3.379562,-23.004650,1.067699,1
3.390758,-23.304665,1.023486,1
3.401713,-23.604680,1.044845,1
3.412556,-23.904695,1.042518,1
3.423576,-24.204710,1.068213,1
3.434557,-24.504725,1.101079,1
3.444576,-24.804740,1.128453,1
3.455761,-25.104755,1.120640,1
3.467378,-25.404770,1.150166,1
3.477568,-25.704785,1.160843,1
3.488579,-26.004800,1.165111,1
3.499598,-26.304815,1.125753,1
3.510664,-26.604830,1.208491,1
3.521583,-26.904845,1.214261,1
3.532584,-27.204860,1.230405,1
